date,s01_consumption,s02_govt_consumption,s03_construction,s04_exports,s05_imports,s06_capital,s07_gdp,s08_manufacturing,s09_transport_storage_communication,s10_total_output,s11_distribution_hotels_catering,s12_all_production_industries,s13_electricity_gas_and_water_supply,s14_manuf_of_food_drink_tobacco,s15_manuf_coke_petroleum_prod_nuclear_fuels,s16_manuf_of_chemicals_man_made_fibres,s17_total_production,s18_rpi_total_food,s19_rpi_total_non_food,s20_rpi_all_items_other_than_seasonal_food,s21_cpi,s22_gdp_deflator,s23_wages,s24_rpix,s25_rpi,s26_m4_total,s27_m4_households,s28_m4_pnfcs,s29_m4_ofcs,s30_m0,s31_m4_lending,s32_m4l_households,s33_m4l_pnfcs,s34_house_prices,s35_dividend_yield,s36_pe_ratio,s37_ftse_all_share_index,s38_pounds_dollar,s39_pounds_euro,s40_pounds_yen,base_rate
1970-01-01,68533.0,32859.0,65.3,17066.0,14806.0,19178.0,127256.0,80.8,29.0,40.6,45.9,66.6,41.4,72.5,113.2,38.7,1.0,18.7,19.4,19.1,11.616123840405365,9.6,6562.0,18.435031369538944,24396.43886882648,3651.120287394305,986.7634071866072,19702.556968869354,3775.003109142701,52.0,6112.440895987423,716.8509940060142,9070.296228864843,19.931527657334243,3.9067,13.67,146.5261,0.4160599126274183,0.4245563386261357,0.0011557695321583626,7.85
1970-04-01,69619.0,33842.0,67.4,16825.0,15592.0,19909.0,130110.0,81.5,29.5,40.9,46.2,66.8,39.5,74.4,110.5,39.9,-0.6,19.3,19.7,19.5,11.894660697845962,9.8,6895.0,18.82526196057298,25281.378017857205,3802.20112687269,1124.2514871429414,20314.99720349053,3823.5010742029663,122.0,6486.537693865785,690.7587164464084,9356.41860960571,19.796107369267634,4.61,14.3133,128.8302,0.41609453667873336,0.4262211235188816,0.0011558514226970614,7.0769
1970-07-01,70685.0,33631.0,68.5,16647.0,15667.0,20024.0,131185.0,81.5,29.7,41.1,46.2,67.0,40.7,74.9,118.0,40.7,0.4,19.3,20.0,19.9,12.028244700904208,10.0,7080.0,19.04056159700555,26121.935343259112,3818.5736391778723,1224.503212111102,21057.78465549587,3929.19765474776,75.0,6558.516855478073,686.6388831475232,9681.557678629422,19.82198161484642,4.6133,14.1533,129.1271,0.4187429337129936,0.42894522369493415,0.0011631717040337516,7.0
1970-10-01,70345.0,33925.0,67.1,18241.0,16438.0,20466.0,132017.0,82.1,30.1,41.2,46.2,67.3,41.8,75.1,118.4,40.2,1.2,19.6,20.5,20.3,12.278359430034541,10.2,7227.0,19.5115295517018,26918.988749780554,3900.409210080135,1237.392719607008,21775.68546145702,3962.175368956949,135.0,6570.669181464562,693.5052719789984,10041.983463480843,19.739162499743067,4.4033,14.2567,135.8783,0.4185676614624754,0.42922139239419693,0.0011626730784211365,7.0
1971-01-01,70130.0,34117.0,67.0,17427.0,16029.0,19671.0,130417.0,80.9,29.4,41.2,46.4,66.6,41.4,74.0,117.1,40.7,0.0,20.3,21.0,20.8,12.613740544095672,10.5,7352.0,20.04977864278323,27938.4024882781,4273.437037603146,1207.3866605865148,22449.49623127102,4253.155200214497,69.0,6629.286026328944,718.2242717723094,10398.766677248143,19.878236386709677,4.3933,16.6467,135.792,0.4142158893215144,0.42607584149978694,0.0011581096454204118,7.0
1971-04-01,71688.0,34705.0,68.6,18654.0,16651.0,20375.0,132168.0,80.9,30.2,41.9,47.0,66.8,41.8,75.2,123.9,40.2,-0.1,21.4,21.6,21.5,13.065652384228889,10.7,7476.0,20.762958688466124,28781.071023782202,4533.613939598396,1192.8922228843956,23024.58365927728,4168.7653757012185,75.0,6682.268261816991,738.6283704022045,10830.376765635332,19.86934166742496,3.84,17.87,158.3981,0.41347942939838744,0.42724087840724606,0.0011568192237442236,6.0
1971-07-01,72947.0,35040.0,67.9,18776.0,16353.0,20578.0,134182.0,80.4,30.6,42.3,47.4,66.5,43.2,74.7,116.7,40.5,-0.7,21.7,21.9,21.9,13.244711792583558,10.9,7712.0,20.92443341579055,29830.90717016999,4664.403356995965,1208.8167549860077,23936.097232667198,4185.250374860772,54.0,6866.311816670206,927.7063510392329,11324.047515822078,20.939670550863205,3.42,18.28,180.11,0.4096178265678122,0.43079309007883515,0.0011685213437434563,5.6848
1971-10-01,73467.0,34934.0,69.7,18683.0,16833.0,20540.0,134282.0,80.4,31.1,42.7,47.8,66.4,45.0,75.3,124.2,42.0,-1.3,22.0,22.2,22.2,13.409560136783094,11.2,7857.0,21.274295324993474,31317.34951451199,5218.041737648305,1483.5478356646456,24772.815935482864,4159.06831737207,103.0,7172.287245044105,1135.5234399250346,11870.321218752786,21.82106157500107,3.42,19.7,181.6637,0.39932912706652823,0.43101590448687555,0.0012230704351586762,5.0
1972-01-01,74672.0,35796.0,69.5,18415.0,17518.0,19931.0,134241.0,78.2,30.7,43.0,48.6,63.2,43.2,76.3,123.1,40.9,-5.1,22.7,22.4,22.5,13.617041673448034,11.3,8124.0,21.57033232508826,32946.7452288519,5492.136222640141,1693.7397136610075,25958.498787570014,4247.311548167327,188.0,7817.718695778105,1321.608022783563,12480.422016161887,23.33355495028961,3.09,18.7667,206.0305,0.3849114703618168,0.4339524388127062,0.0012553351744915891,5.0
1972-04-01,76338.0,35982.0,71.0,18513.0,17853.0,20413.0,137602.0,82.2,31.6,43.6,49.5,68.0,46.3,78.5,119.5,42.9,1.9,22.9,22.9,22.9,13.872840828240419,11.5,8404.0,22.027844052507472,34932.17443142677,6242.347542119936,2046.497911040922,26907.699709757075,4447.070949747799,228.0,8574.12600875316,1649.1860797128222,13187.148644596497,24.9983427223274,2.9933,17.8133,219.3298,0.3850893407270487,0.4360338362256911,0.0012684579660936113,5.0989
